nm_arq_in,id,titulo,data,dataAtualizacao,salario,faixaSalarial,faixaSalarialId,salarioACombinar,jobQuantity,empId,companySize,tipoEmp,localPreenchimento,descricao,perfilId,ppdPerfilId,hrenova,horario,infoAdicional,regimeContrato,benef,entradaEmp,empContratou,grupoMidia,habilidades,ppdInfo,ppdFiltro,anunciante,contratante,vagas,url_vaga,nr_reg,dh_insercao_raw,dh_arq_in,dataRemovido
catho_2021-09-15_page_6001_a_6500.parquet,19087326,Vendedor Externo,2021-08-06T23:59:59Z,2021-08-06T17:03:49Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,1321806,P,R,1,"<li> Prospecção contínua de novos clientes. Gestão da carteira de clientes ativos, buscando constantemente o aumento do volume de negócios. Vendas B2B. Atuação interna em empresas de factoring, FIDC ou securitizadora.</li><li> Vivência em posições comerciais em instituições financeiras.</li>",1,0,false,null,"Fixo + comissionamento recorrente, baseado na receita da carteira de clientes.",Prestador de serviços (PJ),[],null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'CULTURE DESIGNER', 'confidencial': False}","{'nome': 'New Way Learning HR Treinamentos Ltda', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 21, 'estado': 'Rio Grande do Sul', 'uf': 'RS', 'cidadeId': 8412, 'cidade': 'Caxias do Sul', 'total': 1}]",https://www.catho.com.br/vagas/vendedor-externo/19087326/?origem_apply=busca-de-vagas&entrada_apply=direto,2362,2021-09-15T15:43:58.000+0000,2021-09-15T11:17:58.000+0000,2021-11-09
catho_2021-09-15_page_6001_a_6500.parquet,19087490,Mecânico de Veículos A,2021-08-06T23:59:59Z,2021-08-09T14:34:20Z,0,"De R$ 2.001,00 a R$ 3.000,00",0,true,2,312135,M,C,0,<li> Desmontagem e montagem de câmbio. Conhecimento em diagnóstico.</li><li> Desejável conhecimento em veículos híbridos. Desejável vivência em concessionária. Conhecimento em informática e habilitação categoria B.</li>,1,0,false,"De segunda a sexta, das 08:00 às 18:00, sábados alternados.",null,CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Assistência Odontológica', 'Tíquete Alimentação', 'Vale Transporte']",2008-10-20T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'EUROVILLE', 'confidencial': False}","{'nome': 'EUROVILLE', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 13, 'estado': 'Minas Gerais', 'uf': 'MG', 'cidadeId': 4096, 'cidade': 'Belo Horizonte', 'total': 2}]",https://www.catho.com.br/vagas/mecanico-de-veiculos-a/19087490/?origem_apply=busca-de-vagas&entrada_apply=direto,1130,2021-09-15T15:43:58.000+0000,2021-09-15T11:17:58.000+0000,2021-11-09
catho_2021-09-15_page_6001_a_6500.parquet,19087782,Auxiliar de Vendas,2021-08-06T23:59:59Z,2021-08-06T17:59:28Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,1259119,P,R,1,"<li> Auxilia no levantamentos de informações para controle das vendas, presta suporte em toda negociação, realiza o cadastro de clientes e emite orçamentos e pedidos de vendas.</li><li> Experiência em vendas ou atendimento ao público. Ensino Médio completo.</li>",1,0,false,Comercial de Segunda à Sexta.,null,null,[],null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'MAXIMA RH', 'confidencial': False}","{'nome': 'MAXIMA RECURSOS HUMANOS LTDA', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 16, 'estado': 'Paraná', 'uf': 'PR', 'cidadeId': 6526, 'cidade': 'Pinhais', 'total': 1}]",https://www.catho.com.br/vagas/auxiliar-de-vendas/19087782/?origem_apply=busca-de-vagas&entrada_apply=direto,2504,2021-09-15T15:43:58.000+0000,2021-09-15T11:17:58.000+0000,2021-11-09
catho_2021-09-15_page_5501_a_6000.parquet,19088557,Gerente Comercial Resort,2021-08-09T23:59:59Z,2021-08-09T09:31:39Z,0,"De R$ 10.001,00 a R$ 15.000,00",12,false,1,1212876,M,R,1,"<li> Atividades: Atuar como gerente no Clube de Férias com ações de Marketing e Venda junto aos nossos clientes, gestão de equipe, treinamentos, elaboração de relatórios e análise. Acompanhamento de Meta e controle orçamentário. Atributos: Liderança participativa, boa gestão de pessoas, simpatia, boa comunicação, planejamento e organização. Experiência em agência de viagens e Clube de Férias.</li><li> Experiência em agência de viagens e Clube de Férias. Formação: Superior Completo em Turismo, Administração, Hotelaria.</li>",1,0,false,Segunda a sexta-feira,null,Prestador de serviços (PJ),[],2018-11-27T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'ÉTICA RH - CONSULTORIA RECURSOS HUMANOS', 'confidencial': False}","{'nome': 'ÉTICA RH - Treinamentos e Consultorias', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 9, 'estado': 'Goiás', 'uf': 'GO', 'cidadeId': 3093, 'cidade': 'Goiania', 'total': 1}]",https://www.catho.com.br/vagas/gerente-comercial-resort/19088557/?origem_apply=busca-de-vagas&entrada_apply=direto,5541,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,2021-11-09
catho_2021-09-15_page_5501_a_6000.parquet,19091328,Afiador de Ferramentas,2021-08-09T23:59:59Z,2021-08-09T10:55:27Z,1630,"De R$ 1.001,00 a R$ 2.000,00",3,false,1,1237448,P,C,0,"<li> Afiador de Serras e Fresas, Solda em serra fita, auxiliar na montagem de maquinas.</li><li> Desejável experiência anterior. Trabalho em equipe. Dinamismo. Organização. Bom atendimento. Conhecimento em informática. </li>",1,0,false,"Segunda a Sexta das 8:00 às 18:00, sábado das 08:30 ao 12:00",null,CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Assistência Odontológica', 'Vale Transporte']",null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'PRECISAO MAQUINAS', 'confidencial': False}","{'nome': 'PRECISAO MAQUINAS', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 677, 'cidade': 'Ribeirão Preto', 'total': 1}]",https://www.catho.com.br/vagas/afiador-de-ferramentas/19091328/?origem_apply=busca-de-vagas&entrada_apply=direto,6492,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,2021-11-09
catho_2021-09-15_page_5501_a_6000.parquet,19094023,Confeiteira,2021-08-09T23:59:59Z,2021-08-09T13:44:54Z,0,"Até R$ 1.000,00",0,true,4,1327559,P,C,1,"<li> Realizar o preparo e pré preparo de doces, recheios, tortas, decoração, mini doces de festas, trazer produtos inovadores, para confeitaria, que tenha espirito de equipe, organizado com seu espaço de trabalho, é cuidadoso(a) com os equipamentos de trabalho.</li><li> Ensino Médio completo.</li>",9,0,false,A combinar.,Salário a combinar.,CLT (Efetivo),"['Tíquete Alimentação', 'Vale Transporte']",null,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'ERONITA CONFEITARIA ARTESANAL', 'confidencial': False}","{'nome': 'Eronita Confeitaria Artesanal Ltda', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 21, 'estado': 'Rio Grande do Sul', 'uf': 'RS', 'cidadeId': 8791, 'cidade': 'Porto Alegre', 'total': 4}]",https://www.catho.com.br/vagas/confeiteira/19094023/?origem_apply=busca-de-vagas&entrada_apply=direto,7450,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,null
catho_2021-09-15_page_5501_a_6000.parquet,19094074,Auxiliar Mecânico de Autos,2021-08-09T23:59:59Z,2021-08-09T13:53:03Z,1829,"De R$ 1.001,00 a R$ 2.000,00",3,false,1,636,P,R,1,"<li> Efetua consertos mecânicos ou elétricos, faz a troca de óleo e limpeza de motores. Lava as peças e outros componentes de motores e equipamentos. Auxilia na desmontagem e montagem de motores e máquinas.</li><li> Experiência com veículos pesados.</li>",9,0,false,Das 07h às 16h48 de segunda a sexta.,Possuir CNH B.,null,"['Assistência Médica / Medicina em grupo', 'Assistência Odontológica', 'Restaurante na empresa', 'Vale Transporte']",2009-06-30T23:59:59Z,39,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'TALENTOS RH', 'confidencial': False}","{'nome': 'Talento`s Recursos Humanos Ltda. ME', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 492, 'cidade': 'Mogi das Cruzes', 'total': 1}]",https://www.catho.com.br/vagas/auxiliar-mecanico-de-autos/19094074/?origem_apply=busca-de-vagas&entrada_apply=direto,6357,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,null
catho_2021-09-15_page_5501_a_6000.parquet,19094457,Operador Eta/Ete - Industrial,2021-08-09T23:59:59Z,2021-08-09T14:41:14Z,0,"De R$ 3.001,00 a R$ 4.000,00",5,false,1,392263,P,R,1,"<li> Operação de planta ETA/ETE, através de várias fases, reatores, decantadores, tanques, centrífugas, aeradores e gasômetro. Regular válvulas e bombas, controlar vazão de decantadores, dosagem de reagentes. Ligar e desligar bombas dosadoras.</li><li> Curso Técnico.</li>",9,0,false,null,"Faixa de R$ 3.000,00 a R$ 3.400,00.",CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Restaurante na empresa', 'Vale Transporte']",2012-03-23T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'SELSUL', 'confidencial': False}","{'nome': 'Selsul Seleção De Pessoal Ltda.', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 24, 'estado': 'Santa Catarina', 'uf': 'SC', 'cidadeId': 9330, 'cidade': 'Canoas', 'total': 1}]",https://www.catho.com.br/vagas/operador-eta/ete---industrial/19094457/?origem_apply=busca-de-vagas&entrada_apply=direto,5818,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,2021-11-09
catho_2021-09-15_page_5501_a_6000.parquet,19094557,Líder Instalador de Acessórios Automotivos,2021-08-09T23:59:59Z,2021-08-09T14:53:49Z,0,"De R$ 1.001,00 a R$ 2.000,00",0,true,1,828146,P,R,1,<li> Instalação de acessórios automotivos e eletricista geral automotivo.</li>,9,0,false,null,Café da manhã e café da tarde. Ajuda de custo.,CLT (Efetivo),"['Assistência Médica / Medicina em grupo', 'Participação nos lucros', 'Tíquete Alimentação']",2019-10-04T23:59:59Z,0,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'REFERENCE RH', 'confidencial': False}","{'nome': 'Rs Terceirizacao De Mao De Obra - Eireli', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 783, 'cidade': 'São Paulo', 'total': 1}]",https://www.catho.com.br/vagas/lider-instalador-de-acessorios-automotivos/19094557/?origem_apply=busca-de-vagas&entrada_apply=direto,8474,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,2021-11-09
catho_2021-09-15_page_5501_a_6000.parquet,19094642,Técnico em Alimentos,2021-08-09T23:59:59Z,2021-08-09T15:41:21Z,2500,"De R$ 2.001,00 a R$ 3.000,00",4,false,1,636,M,R,1,"<li> Experiência no segmento alimentício, com curso Técnico ou Superior na area de alimentos</li>",1,0,false,07h00 as 17h00 de segunda a sexta feira,null,null,"['Assistência Médica / Medicina em grupo', 'Restaurante na empresa', 'Vale Transporte']",2009-06-30T23:59:59Z,39,[],[],"{'descricao': None, 'funcao': None, 'aparelho': None, 'instAdapt': False, 'curso': None}",[],"{'nome': 'TALENTOS RH', 'confidencial': False}","{'nome': 'TALENTOS', 'confidencial': False}","[{'paisId': 31, 'pais': 'Brasil', 'estadoId': 25, 'estado': 'São Paulo', 'uf': 'SP', 'cidadeId': 97, 'cidade': 'Barueri', 'total': 1}]",https://www.catho.com.br/vagas/tecnico-em-alimentos/19094642/?origem_apply=busca-de-vagas&entrada_apply=direto,5934,2021-09-15T15:43:58.000+0000,2021-09-15T11:07:06.000+0000,2021-11-09
